Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Linear Regression,1.6127,4.5283,2.115,0.2239,0.6046,0.631,0.513,"(3, 4, 9)"
Ridge Regression,1.7186,4.8962,2.202,0.1625,0.6286,0.661,0.514,"(3, 4, 9)"
Huber Regressor,1.7481,5.3367,2.2922,0.0978,0.6321,0.6125,0.52,"(3, 4, 9)"
Bayesian Ridge,1.7867,5.1762,2.2607,0.12,0.6514,0.6841,0.522,"(3, 4, 9)"
Orthogonal Matching Pursuit,1.7889,5.1628,2.2591,0.1204,0.6521,0.6921,0.514,"(3, 4, 9)"
Elastic Net,1.8061,5.2583,2.2784,0.1065,0.6578,0.6891,0.518,"(3, 4, 9)"
Decision Tree Regressor,1.8205,7.2117,2.6723,-0.2457,0.7198,0.6715,0.517,"(3, 4, 9)"
Lasso Regression,1.8209,5.3226,2.2921,0.096,0.6637,0.6934,0.518,"(3, 4, 9)"
Lasso Least Angle Regression,1.8209,5.3226,2.2921,0.096,0.6637,0.6934,0.504,"(3, 4, 9)"
AdaBoost Regressor,1.8362,4.9525,2.2124,0.1513,0.6848,0.7961,0.552,"(3, 4, 9)"
K Neighbors Regressor,1.9403,6.3484,2.5061,-0.0864,0.7054,0.7457,0.519,"(3, 4, 9)"
Dummy Regressor,1.9977,5.9989,2.4346,-0.0202,0.707,0.8089,0.519,"(3, 4, 9)"
Passive Aggressive Regressor,2.6269,12.4055,3.4568,-1.1986,0.9295,1.0028,0.511,"(3, 4, 9)"
Least Angle Regression,16828.9792,2680442007.0921,22541.4298,-626289997.5421,4.8704,8246.42,0.517,"(3, 4, 9)"
Extra Trees Regressor,1.4106,3.7632,1.9319,0.4438,0.5282,0.4678,0.587,"(3, 4, 10)"
Light Gradient Boosting Machine,1.4986,4.265,2.0512,0.3724,0.5539,0.5199,0.534,"(3, 4, 10)"
Random Forest Regressor,1.5139,4.1034,2.0165,0.3962,0.5577,0.513,0.743,"(3, 4, 10)"
Gradient Boosting Regressor,1.5878,4.6138,2.1349,0.3253,0.5736,0.5412,0.627,"(3, 4, 10)"
Linear Regression,1.8549,5.881,2.4198,0.1258,0.6537,0.6876,0.512,"(3, 4, 10)"
Ridge Regression,1.8782,5.6893,2.3776,0.1599,0.6512,0.7317,0.522,"(3, 4, 10)"
Bayesian Ridge,1.924,5.781,2.3932,0.1514,0.6608,0.7511,0.522,"(3, 4, 10)"
Huber Regressor,1.9328,6.0805,2.4521,0.1072,0.6612,0.7012,0.521,"(3, 4, 10)"
Decision Tree Regressor,1.9545,8.2497,2.8503,-0.228,0.7579,0.704,0.516,"(3, 4, 10)"
AdaBoost Regressor,1.9826,5.7104,2.3813,0.1616,0.698,0.8363,0.568,"(3, 4, 10)"
Orthogonal Matching Pursuit,1.9941,6.1679,2.4721,0.095,0.6815,0.7879,0.518,"(3, 4, 10)"
Elastic Net,2.003,6.1489,2.4691,0.0988,0.6833,0.7812,0.517,"(3, 4, 10)"
Lasso Regression,2.0225,6.2156,2.4825,0.0902,0.6886,0.7881,0.519,"(3, 4, 10)"
Lasso Least Angle Regression,2.0225,6.2156,2.4825,0.0902,0.6886,0.7881,0.512,"(3, 4, 10)"
K Neighbors Regressor,2.1306,7.306,2.6871,-0.0638,0.7364,0.8521,0.522,"(3, 4, 10)"
Dummy Regressor,2.1846,6.9155,2.6175,-0.0073,0.7287,0.89,0.516,"(3, 4, 10)"
Passive Aggressive Regressor,6.0675,60.6731,7.1961,-8.4863,1.3003,3.3562,0.51,"(3, 4, 10)"
Least Angle Regression,8848527.2138,938533525558346.8,11683866.022,-135743705716323.78,6.5493,5035920.8538,0.528,"(3, 4, 10)"
Extra Trees Regressor,1.386,3.5209,1.8727,0.4602,0.5473,0.4799,0.601,"(3, 4, 12)"
Light Gradient Boosting Machine,1.4955,4.0865,2.0161,0.3701,0.5774,0.5493,0.563,"(3, 4, 12)"
Random Forest Regressor,1.5387,4.2503,2.0575,0.3504,0.5897,0.5435,0.791,"(3, 4, 12)"
Gradient Boosting Regressor,1.5547,4.266,2.0607,0.3402,0.5874,0.5549,0.64,"(3, 4, 12)"
Linear Regression,1.8175,5.5001,2.3357,0.1677,0.6619,0.7028,0.526,"(3, 4, 12)"
Decision Tree Regressor,1.8566,7.2517,2.6772,-0.1262,0.7357,0.7242,0.53,"(3, 4, 12)"
Huber Regressor,1.8659,5.9704,2.4339,0.0993,0.6559,0.6675,0.526,"(3, 4, 12)"
Ridge Regression,1.868,5.5631,2.3471,0.1636,0.6676,0.7248,0.521,"(3, 4, 12)"
Orthogonal Matching Pursuit,1.9164,5.7493,2.3901,0.1297,0.679,0.7535,0.521,"(3, 4, 12)"
Bayesian Ridge,1.9196,5.7935,2.3978,0.1251,0.682,0.7469,0.521,"(3, 4, 12)"
AdaBoost Regressor,1.92,5.304,2.2978,0.1924,0.7054,0.8214,0.577,"(3, 4, 12)"
Elastic Net,1.9314,5.86,2.4112,0.1155,0.6863,0.7449,0.526,"(3, 4, 12)"
Lasso Regression,1.9501,5.9236,2.4242,0.1063,0.6925,0.7502,0.502,"(3, 4, 12)"
Lasso Least Angle Regression,1.9501,5.9236,2.4242,0.1063,0.6925,0.7502,0.535,"(3, 4, 12)"
K Neighbors Regressor,2.0844,7.1842,2.6633,-0.0806,0.7444,0.7865,0.526,"(3, 4, 12)"
Dummy Regressor,2.1145,6.6751,2.5762,-0.0103,0.7372,0.8382,0.523,"(3, 4, 12)"
Passive Aggressive Regressor,2.6525,11.6981,3.3827,-0.7714,0.9448,1.0452,0.525,"(3, 4, 12)"
Least Angle Regression,662616.4075,9034380758120.674,1000292.2092,-1674943838095.2153,4.7945,334842.4592,0.513,"(3, 4, 12)"
Extra Trees Regressor,1.2953,3.1081,1.7538,0.4712,0.5224,0.4714,0.602,"(3, 4, 13)"
Light Gradient Boosting Machine,1.4091,3.6671,1.9059,0.3709,0.5576,0.5264,0.572,"(3, 4, 13)"
Gradient Boosting Regressor,1.4343,3.7256,1.9158,0.3661,0.5594,0.5352,0.65,"(3, 4, 13)"
Random Forest Regressor,1.4367,3.7647,1.9288,0.3616,0.5622,0.5223,0.784,"(3, 4, 13)"
Linear Regression,1.655,4.7731,2.1788,0.185,0.6188,0.6559,0.534,"(3, 4, 13)"
Ridge Regression,1.6998,4.8096,2.189,0.1789,0.6291,0.6636,0.526,"(3, 4, 13)"
Bayesian Ridge,1.7262,4.8788,2.2029,0.1693,0.6362,0.6677,0.528,"(3, 4, 13)"
Huber Regressor,1.7671,5.3951,2.3127,0.0863,0.6408,0.6104,0.542,"(3, 4, 13)"
Orthogonal Matching Pursuit,1.8183,5.2971,2.2932,0.1009,0.6627,0.7067,0.53,"(3, 4, 13)"
AdaBoost Regressor,1.8322,5.0143,2.2332,0.1438,0.6875,0.7651,0.574,"(3, 4, 13)"
Decision Tree Regressor,1.8332,7.4125,2.7044,-0.2743,0.7643,0.6864,0.536,"(3, 4, 13)"
Elastic Net,1.8418,5.3301,2.3016,0.0948,0.6689,0.7116,0.531,"(3, 4, 13)"
Lasso Regression,1.8607,5.3967,2.3162,0.0834,0.6753,0.7182,0.531,"(3, 4, 13)"
Lasso Least Angle Regression,1.8607,5.3967,2.3162,0.0834,0.6753,0.7182,0.531,"(3, 4, 13)"
K Neighbors Regressor,1.9895,6.4225,2.5239,-0.0915,0.7239,0.7913,0.527,"(3, 4, 13)"
Dummy Regressor,2.0042,5.9344,2.4314,-0.011,0.7134,0.797,0.535,"(3, 4, 13)"
Passive Aggressive Regressor,3.039,16.959,3.8998,-1.9693,0.9929,1.3722,0.527,"(3, 4, 13)"
Least Angle Regression,3.337596600413636e+133,1.6904796951074022e+268,4.1115443511014236e+133,-3.440834331053616e+267,38.7902,1.789481949645254e+133,0.524,"(3, 4, 13)"
Extra Trees Regressor,1.2193,2.9407,1.707,0.54,0.4964,0.4224,0.616,"(3, 4, 15)"
Light Gradient Boosting Machine,1.3731,3.5216,1.8632,0.453,0.5306,0.5146,0.572,"(3, 4, 15)"
Random Forest Regressor,1.3757,3.5528,1.8754,0.4476,0.5355,0.4893,0.794,"(3, 4, 15)"
Gradient Boosting Regressor,1.393,3.5498,1.8769,0.443,0.5358,0.4913,0.643,"(3, 4, 15)"
Linear Regression,1.6952,5.0151,2.2326,0.209,0.6152,0.6534,0.529,"(3, 4, 15)"
Ridge Regression,1.7513,5.0783,2.2492,0.1996,0.6289,0.6813,0.538,"(3, 4, 15)"
AdaBoost Regressor,1.7901,4.7779,2.1787,0.2513,0.6576,0.7593,0.572,"(3, 4, 15)"
Bayesian Ridge,1.8041,5.2669,2.2914,0.1704,0.6465,0.6929,0.524,"(3, 4, 15)"
Huber Regressor,1.834,5.6671,2.3773,0.1054,0.6443,0.6634,0.533,"(3, 4, 15)"
Decision Tree Regressor,1.8444,7.5905,2.7377,-0.1879,0.7529,0.711,0.535,"(3, 4, 15)"
Orthogonal Matching Pursuit,1.8462,5.5204,2.346,0.1317,0.6553,0.713,0.533,"(3, 4, 15)"
Elastic Net,1.877,5.6155,2.3663,0.1159,0.6629,0.7214,0.534,"(3, 4, 15)"
Lasso Regression,1.9011,5.6793,2.3799,0.1061,0.67,0.7334,0.54,"(3, 4, 15)"
Lasso Least Angle Regression,1.9011,5.6793,2.3799,0.1061,0.67,0.7334,0.516,"(3, 4, 15)"
K Neighbors Regressor,2.0124,6.6147,2.5696,-0.0475,0.7127,0.7863,0.528,"(3, 4, 15)"
Dummy Regressor,2.0751,6.4828,2.5419,-0.0168,0.7171,0.8259,0.53,"(3, 4, 15)"
Passive Aggressive Regressor,2.2743,9.4028,3.0455,-0.4662,0.7894,0.7224,0.537,"(3, 4, 15)"
Least Angle Regression,27730.523,11548837394.9309,47141.3853,-1916928274.0368,5.1196,15527.2304,0.535,"(3, 4, 15)"
Extra Trees Regressor,1.1911,2.6535,1.6245,0.5078,0.4949,0.4341,0.62,"(3, 4, 16)"
Light Gradient Boosting Machine,1.3207,3.2193,1.7891,0.4004,0.5315,0.5065,0.578,"(3, 4, 16)"
Random Forest Regressor,1.3363,3.2025,1.7831,0.4057,0.5327,0.4874,0.804,"(3, 4, 16)"
Gradient Boosting Regressor,1.3831,3.4646,1.8557,0.3546,0.5392,0.5061,0.651,"(3, 4, 16)"
Decision Tree Regressor,1.5686,5.5324,2.318,-0.0213,0.6772,0.616,0.535,"(3, 4, 16)"
Linear Regression,1.6267,4.3288,2.0702,0.203,0.6079,0.6481,0.523,"(3, 4, 16)"
Ridge Regression,1.661,4.4716,2.1107,0.1682,0.6145,0.665,0.527,"(3, 4, 16)"
Bayesian Ridge,1.7332,4.7219,2.1688,0.123,0.635,0.6867,0.53,"(3, 4, 16)"
AdaBoost Regressor,1.7413,4.384,2.0897,0.1842,0.659,0.7615,0.564,"(3, 4, 16)"
Huber Regressor,1.7446,5.0355,2.2384,0.0666,0.6322,0.6412,0.535,"(3, 4, 16)"
Orthogonal Matching Pursuit,1.7582,4.8708,2.2029,0.0953,0.644,0.698,0.528,"(3, 4, 16)"
Elastic Net,1.7604,4.8342,2.1943,0.1034,0.6447,0.6954,0.538,"(3, 4, 16)"
Lasso Regression,1.7802,4.903,2.2093,0.0923,0.6514,0.7039,0.555,"(3, 4, 16)"
Lasso Least Angle Regression,1.7802,4.903,2.2093,0.0923,0.6514,0.7039,0.526,"(3, 4, 16)"
K Neighbors Regressor,1.8952,5.7876,2.3977,-0.0708,0.6887,0.7297,0.534,"(3, 4, 16)"
Dummy Regressor,1.9449,5.5067,2.3406,-0.0169,0.6922,0.802,0.537,"(3, 4, 16)"
Passive Aggressive Regressor,3.7566,25.8307,4.5263,-4.3826,1.0656,2.0396,0.53,"(3, 4, 16)"
Least Angle Regression,2639012.2698,101973008895375.58,3380921.9096,-17273030773961.033,7.0654,1161056.7062,0.546,"(3, 4, 16)"
Extra Trees Regressor,1.4586,3.8738,1.9507,0.4396,0.5348,0.493,0.62,"(3, 4, 17)"
Light Gradient Boosting Machine,1.5076,4.1398,2.0237,0.3922,0.549,0.5236,0.57,"(3, 4, 17)"
Random Forest Regressor,1.5884,4.4318,2.0923,0.3539,0.5687,0.5356,0.774,"(3, 4, 17)"
Gradient Boosting Regressor,1.5963,4.4049,2.0839,0.3583,0.5646,0.5423,0.645,"(3, 4, 17)"
Linear Regression,1.8201,5.503,2.3293,0.1997,0.6281,0.6952,0.528,"(3, 4, 17)"
Ridge Regression,1.8904,5.6362,2.3612,0.1784,0.6466,0.7129,0.533,"(3, 4, 17)"
Huber Regressor,1.9521,6.1017,2.4601,0.1049,0.6573,0.696,0.532,"(3, 4, 17)"
Bayesian Ridge,1.9623,5.9417,2.4237,0.1358,0.6655,0.7419,0.53,"(3, 4, 17)"
Orthogonal Matching Pursuit,1.9827,6.018,2.4391,0.1249,0.6683,0.7624,0.527,"(3, 4, 17)"
AdaBoost Regressor,1.9932,5.7021,2.375,0.1686,0.6937,0.8322,0.562,"(3, 4, 17)"
Elastic Net,1.9952,6.0641,2.4485,0.1189,0.673,0.7604,0.526,"(3, 4, 17)"
Lasso Regression,2.0123,6.1286,2.4613,0.1099,0.6788,0.7667,0.531,"(3, 4, 17)"
Lasso Least Angle Regression,2.0123,6.1286,2.4613,0.1099,0.6788,0.7667,0.528,"(3, 4, 17)"
Decision Tree Regressor,2.0997,9.1047,3.0046,-0.3521,0.8148,0.721,0.538,"(3, 4, 17)"
K Neighbors Regressor,2.0998,7.0358,2.6401,-0.0274,0.7021,0.7877,0.529,"(3, 4, 17)"
Dummy Regressor,2.2039,6.9698,2.6265,-0.0144,0.7259,0.8724,0.532,"(3, 4, 17)"
Passive Aggressive Regressor,2.5877,11.4314,3.3225,-0.6526,0.8475,0.8908,0.529,"(3, 4, 17)"
Least Angle Regression,15097.2204,4208103765.8544,20957.8796,-737847902.3007,3.7652,8226.9389,0.526,"(3, 4, 17)"
Extra Trees Regressor,1.2969,3.1109,1.7538,0.4516,0.5099,0.4585,0.631,"(3, 5, 6)"
Random Forest Regressor,1.4182,3.5977,1.885,0.3672,0.5399,0.5055,0.798,"(3, 5, 6)"
Light Gradient Boosting Machine,1.454,3.844,1.9551,0.3178,0.5498,0.5509,0.57,"(3, 5, 6)"
Gradient Boosting Regressor,1.4826,3.8919,1.9644,0.3097,0.5492,0.548,0.656,"(3, 5, 6)"
Linear Regression,1.7237,4.991,2.2197,0.124,0.6161,0.658,0.53,"(3, 5, 6)"
Ridge Regression,1.7662,5.0064,2.2259,0.1174,0.6216,0.6907,0.529,"(3, 5, 6)"
AdaBoost Regressor,1.7855,4.7054,2.1621,0.1671,0.6458,0.7548,0.581,"(3, 5, 6)"
Huber Regressor,1.8079,5.3855,2.3084,0.0497,0.6235,0.6571,0.534,"(3, 5, 6)"
Decision Tree Regressor,1.8372,7.0431,2.6435,-0.2526,0.736,0.7265,0.52,"(3, 5, 6)"
Bayesian Ridge,1.847,5.2558,2.2817,0.0728,0.6396,0.7305,0.535,"(3, 5, 6)"
Elastic Net,1.8562,5.3059,2.293,0.0637,0.6431,0.7349,0.531,"(3, 5, 6)"
Orthogonal Matching Pursuit,1.8633,5.3374,2.3001,0.0571,0.6445,0.7404,0.537,"(3, 5, 6)"
Lasso Regression,1.8752,5.3985,2.3139,0.0464,0.6495,0.7457,0.532,"(3, 5, 6)"
Lasso Least Angle Regression,1.8752,5.3984,2.3139,0.0464,0.6495,0.7457,0.535,"(3, 5, 6)"
K Neighbors Regressor,1.8967,5.9563,2.4336,-0.0594,0.675,0.7235,0.53,"(3, 5, 6)"
Dummy Regressor,1.9462,5.6931,2.3805,-0.011,0.6735,0.7919,0.531,"(3, 5, 6)"
Passive Aggressive Regressor,4.9561,45.3398,6.0475,-7.3483,1.1653,2.4998,0.529,"(3, 5, 6)"
Least Angle Regression,4664637.2078,360627759939222.4,6090090.8168,-53337861428980.2,5.9834,2336461.9248,0.533,"(3, 5, 6)"
Extra Trees Regressor,1.4182,3.6162,1.8905,0.4272,0.5361,0.4844,0.607,"(3, 5, 8)"
Light Gradient Boosting Machine,1.5652,4.2943,2.0627,0.3169,0.5716,0.5436,0.571,"(3, 5, 8)"
Random Forest Regressor,1.5724,4.2026,2.0397,0.3352,0.572,0.5485,0.787,"(3, 5, 8)"
Gradient Boosting Regressor,1.6293,4.5714,2.1283,0.2731,0.5862,0.5692,0.652,"(3, 5, 8)"
Linear Regression,1.8565,5.5389,2.3426,0.1197,0.651,0.6642,0.505,"(3, 5, 8)"
Ridge Regression,1.8997,5.6171,2.3628,0.1026,0.6589,0.675,0.524,"(3, 5, 8)"
Huber Regressor,1.9202,5.9701,2.4369,0.0422,0.6648,0.6394,0.54,"(3, 5, 8)"
AdaBoost Regressor,1.9234,5.5607,2.3515,0.1101,0.685,0.7308,0.557,"(3, 5, 8)"
Orthogonal Matching Pursuit,1.9485,5.8005,2.4024,0.0715,0.6768,0.7015,0.532,"(3, 5, 8)"
Bayesian Ridge,1.9517,5.8055,2.4028,0.0722,0.6774,0.7032,0.531,"(3, 5, 8)"
Elastic Net,1.9736,5.8659,2.4148,0.0638,0.6798,0.7123,0.53,"(3, 5, 8)"
Lasso Regression,1.9945,5.9352,2.4291,0.0527,0.6843,0.72,0.53,"(3, 5, 8)"
Lasso Least Angle Regression,1.9945,5.9352,2.4291,0.0527,0.6843,0.7199,0.531,"(3, 5, 8)"
Decision Tree Regressor,1.9993,8.0632,2.8334,-0.3042,0.7831,0.7057,0.537,"(3, 5, 8)"
K Neighbors Regressor,2.0766,6.8974,2.6156,-0.0989,0.7202,0.7387,0.529,"(3, 5, 8)"
Dummy Regressor,2.0776,6.3667,2.514,-0.0121,0.7095,0.7648,0.529,"(3, 5, 8)"
Passive Aggressive Regressor,3.1407,15.3221,3.8793,-1.574,1.0892,1.1507,0.535,"(3, 5, 8)"
Least Angle Regression,108230.3275,249994305533.8904,158495.3971,-41499000336.0553,4.3505,49915.4866,0.534,"(3, 5, 8)"
Extra Trees Regressor,1.2771,3.1875,1.769,0.4584,0.4949,0.4269,0.59,"(3, 5, 9)"
Light Gradient Boosting Machine,1.3887,3.6659,1.9023,0.3666,0.536,0.5132,0.568,"(3, 5, 9)"
Random Forest Regressor,1.4066,3.6619,1.8938,0.3825,0.5311,0.4854,0.763,"(3, 5, 9)"
Gradient Boosting Regressor,1.4528,3.8075,1.9329,0.3553,0.5418,0.5174,0.64,"(3, 5, 9)"
Linear Regression,1.7032,4.8055,2.1652,0.1869,0.6075,0.6555,0.517,"(3, 5, 9)"
Decision Tree Regressor,1.7925,6.9261,2.6146,-0.2014,0.7084,0.6704,0.531,"(3, 5, 9)"
Ridge Regression,1.7954,5.1955,2.2532,0.1319,0.6314,0.675,0.52,"(3, 5, 9)"
AdaBoost Regressor,1.8074,4.7713,2.1695,0.185,0.6533,0.7433,0.564,"(3, 5, 9)"
Huber Regressor,1.8398,5.7493,2.364,0.0457,0.6359,0.6401,0.536,"(3, 5, 9)"
Bayesian Ridge,1.8682,5.5166,2.325,0.0729,0.6516,0.7225,0.535,"(3, 5, 9)"
Elastic Net,1.8763,5.5608,2.3336,0.0668,0.6547,0.7226,0.537,"(3, 5, 9)"
Orthogonal Matching Pursuit,1.8764,5.5593,2.3345,0.0641,0.6539,0.7323,0.538,"(3, 5, 9)"
Lasso Regression,1.8909,5.6417,2.3499,0.0543,0.6604,0.7285,0.526,"(3, 5, 9)"
Lasso Least Angle Regression,1.8909,5.6417,2.3499,0.0543,0.6604,0.7285,0.524,"(3, 5, 9)"
K Neighbors Regressor,1.9668,6.397,2.5011,-0.0724,0.6909,0.7391,0.527,"(3, 5, 9)"
Dummy Regressor,2.0057,6.1305,2.4527,-0.0296,0.694,0.7944,0.54,"(3, 5, 9)"
Passive Aggressive Regressor,3.3621,21.1212,4.222,-2.7745,1.0018,1.4554,0.522,"(3, 5, 9)"
Least Angle Regression,5627.2721,347280629.1371,8355.9558,-48872393.1774,4.6829,2822.6527,0.536,"(3, 5, 9)"
Extra Trees Regressor,1.3719,3.6193,1.8936,0.4627,0.5173,0.4547,0.599,"(3, 5, 10)"
Light Gradient Boosting Machine,1.4865,4.1428,2.0255,0.381,0.547,0.5077,0.568,"(3, 5, 10)"
Random Forest Regressor,1.5177,4.2151,2.0426,0.3746,0.5512,0.5196,0.748,"(3, 5, 10)"
Gradient Boosting Regressor,1.6083,4.6722,2.1516,0.3037,0.5715,0.5637,0.651,"(3, 5, 10)"
Linear Regression,1.826,5.3015,2.2919,0.2161,0.6228,0.7035,0.533,"(3, 5, 10)"
Ridge Regression,1.8873,5.7016,2.3777,0.1573,0.6447,0.7116,0.533,"(3, 5, 10)"
Bayesian Ridge,1.952,5.9382,2.4261,0.1238,0.6596,0.7452,0.531,"(3, 5, 10)"
Decision Tree Regressor,1.9696,8.5485,2.8973,-0.2577,0.7636,0.7539,0.536,"(3, 5, 10)"
Huber Regressor,1.9828,6.4935,2.5358,0.0404,0.6617,0.6849,0.538,"(3, 5, 10)"
AdaBoost Regressor,2.0495,5.9007,2.4213,0.1228,0.6857,0.8632,0.574,"(3, 5, 10)"
Orthogonal Matching Pursuit,2.0681,6.431,2.5267,0.0483,0.6765,0.8063,0.543,"(3, 5, 10)"
Elastic Net,2.1041,6.5643,2.5518,0.0309,0.6863,0.8331,0.538,"(3, 5, 10)"
K Neighbors Regressor,2.1092,7.2349,2.6783,-0.0702,0.7104,0.8165,0.533,"(3, 5, 10)"
Lasso Regression,2.1321,6.664,2.5705,0.0169,0.6921,0.8505,0.533,"(3, 5, 10)"
Lasso Least Angle Regression,2.1321,6.664,2.5705,0.0169,0.6921,0.8505,0.532,"(3, 5, 10)"
Dummy Regressor,2.2029,6.9382,2.6264,-0.0276,0.7113,0.9062,0.53,"(3, 5, 10)"
Passive Aggressive Regressor,3.3271,16.9754,4.0241,-1.546,1.0222,1.5729,0.526,"(3, 5, 10)"
Least Angle Regression,355957.5669,1855966742632.6284,449294.7054,-278332588345.9727,4.0959,167605.9892,0.531,"(3, 5, 10)"
Extra Trees Regressor,1.3534,3.475,1.851,0.4683,0.5353,0.438,0.596,"(3, 5, 12)"
Random Forest Regressor,1.473,4.0039,1.9866,0.3903,0.5653,0.4967,0.779,"(3, 5, 12)"
Light Gradient Boosting Machine,1.4904,4.0743,2.0045,0.3756,0.5642,0.5108,0.568,"(3, 5, 12)"
Gradient Boosting Regressor,1.5033,4.1755,2.0342,0.3616,0.5669,0.5185,0.647,"(3, 5, 12)"
Linear Regression,1.8268,5.6327,2.3637,0.1417,0.6541,0.6779,0.537,"(3, 5, 12)"
Ridge Regression,1.8975,5.7601,2.3927,0.1191,0.671,0.6969,0.537,"(3, 5, 12)"
Decision Tree Regressor,1.9069,7.7441,2.7701,-0.1942,0.7545,0.6857,0.529,"(3, 5, 12)"
Huber Regressor,1.9263,6.3541,2.5096,0.0329,0.6698,0.6424,0.535,"(3, 5, 12)"
AdaBoost Regressor,1.9532,5.4842,2.3326,0.1622,0.698,0.7995,0.577,"(3, 5, 12)"
Orthogonal Matching Pursuit,1.9739,6.1169,2.4648,0.065,0.6896,0.7322,0.523,"(3, 5, 12)"
Bayesian Ridge,1.9748,6.1267,2.467,0.0639,0.6866,0.7415,0.529,"(3, 5, 12)"
Elastic Net,1.9846,6.176,2.4765,0.057,0.6892,0.7475,0.53,"(3, 5, 12)"
Lasso Regression,2.0027,6.2502,2.4911,0.0461,0.6942,0.7581,0.527,"(3, 5, 12)"
Lasso Least Angle Regression,2.0027,6.2502,2.4911,0.0461,0.6942,0.7581,0.525,"(3, 5, 12)"
K Neighbors Regressor,2.0196,6.8566,2.6052,-0.0422,0.7136,0.7192,0.533,"(3, 5, 12)"
Dummy Regressor,2.1042,6.7305,2.5867,-0.028,0.722,0.8281,0.526,"(3, 5, 12)"
Passive Aggressive Regressor,3.2537,18.5631,4.0789,-1.9252,0.952,1.5253,0.531,"(3, 5, 12)"
Least Angle Regression,6600846.6838,1199920381120514.8,10991571.2405,-184409275914828.7,7.3058,4149642.8401,0.534,"(3, 5, 12)"
Extra Trees Regressor,1.2859,3.072,1.7455,0.451,0.5022,0.4545,0.602,"(3, 5, 13)"
Random Forest Regressor,1.3846,3.4569,1.851,0.3836,0.5296,0.4982,0.786,"(3, 5, 13)"
Light Gradient Boosting Machine,1.3855,3.4829,1.8578,0.3764,0.5339,0.4934,0.566,"(3, 5, 13)"
Gradient Boosting Regressor,1.4747,3.8863,1.964,0.3072,0.5452,0.5198,0.644,"(3, 5, 13)"
Linear Regression,1.7146,4.681,2.1562,0.1621,0.613,0.6626,0.533,"(3, 5, 13)"
Ridge Regression,1.7474,4.9666,2.2219,0.1137,0.6222,0.6684,0.524,"(3, 5, 13)"
Decision Tree Regressor,1.7836,6.5759,2.5464,-0.1842,0.7031,0.6544,0.534,"(3, 5, 13)"
AdaBoost Regressor,1.8069,4.8655,2.2009,0.1287,0.6473,0.7648,0.563,"(3, 5, 13)"
Huber Regressor,1.8091,5.499,2.3322,0.0275,0.6271,0.6458,0.536,"(3, 5, 13)"
Bayesian Ridge,1.8393,5.2548,2.287,0.062,0.6411,0.716,0.537,"(3, 5, 13)"
Orthogonal Matching Pursuit,1.8507,5.3418,2.3047,0.0483,0.6435,0.7222,0.519,"(3, 5, 13)"
Elastic Net,1.8649,5.374,2.312,0.0433,0.6488,0.7353,0.526,"(3, 5, 13)"
Lasso Regression,1.876,5.4466,2.3275,0.031,0.6541,0.7425,0.528,"(3, 5, 13)"
Lasso Least Angle Regression,1.876,5.4466,2.3275,0.031,0.6541,0.7425,0.534,"(3, 5, 13)"
K Neighbors Regressor,1.9446,6.0947,2.4639,-0.0994,0.6748,0.7569,0.526,"(3, 5, 13)"
Dummy Regressor,1.9535,5.7262,2.3871,-0.0196,0.6734,0.7988,0.527,"(3, 5, 13)"
Passive Aggressive Regressor,3.3877,22.2074,4.1564,-2.8298,0.9177,1.6138,0.516,"(3, 5, 13)"
Least Angle Regression,12065.3753,1947721078.805,15585.7765,-300097641.6907,5.5854,5555.612,0.527,"(3, 5, 13)"
Extra Trees Regressor,1.2733,3.1062,1.7539,0.4977,0.5016,0.4317,0.612,"(3, 5, 15)"
Random Forest Regressor,1.3823,3.6558,1.9005,0.414,0.5311,0.4754,0.761,"(3, 5, 15)"
Light Gradient Boosting Machine,1.4175,3.7678,1.9322,0.3914,0.5354,0.5011,0.566,"(3, 5, 15)"
Gradient Boosting Regressor,1.4864,3.9649,1.9814,0.3613,0.5472,0.5145,0.643,"(3, 5, 15)"
Linear Regression,1.7217,5.0285,2.2351,0.1917,0.602,0.6585,0.53,"(3, 5, 15)"
Ridge Regression,1.7945,5.2816,2.2942,0.149,0.6343,0.6926,0.532,"(3, 5, 15)"
AdaBoost Regressor,1.8489,5.0042,2.2332,0.1933,0.6594,0.7807,0.572,"(3, 5, 15)"
Huber Regressor,1.8717,5.8862,2.4199,0.0547,0.6419,0.6643,0.535,"(3, 5, 15)"
Bayesian Ridge,1.8973,5.6441,2.3704,0.0938,0.6583,0.7455,0.533,"(3, 5, 15)"
Decision Tree Regressor,1.9185,7.8151,2.7807,-0.2542,0.753,0.6812,0.527,"(3, 5, 15)"
Elastic Net,1.9258,5.8068,2.4038,0.0684,0.6645,0.7643,0.52,"(3, 5, 15)"
Orthogonal Matching Pursuit,1.9382,5.8226,2.4074,0.0642,0.6678,0.7717,0.526,"(3, 5, 15)"
Lasso Regression,1.9428,5.8862,2.4206,0.0553,0.6697,0.7757,0.527,"(3, 5, 15)"
Lasso Least Angle Regression,1.9428,5.8862,2.4206,0.0553,0.6697,0.7757,0.535,"(3, 5, 15)"
K Neighbors Regressor,2.0055,6.709,2.5882,-0.0846,0.7005,0.7485,0.52,"(3, 5, 15)"
Dummy Regressor,2.039,6.2968,2.504,-0.0094,0.6933,0.8273,0.523,"(3, 5, 15)"
