Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Least Angle Regression,3.7047,18.164,4.2596,0.0075,0.3384,0.3536,0.511,"('subject_10', 'subject_28', 'subject_8')"
Linear Regression,3.7066,18.1627,4.2594,0.0076,0.3386,0.354,0.457,"('subject_10', 'subject_28', 'subject_8')"
Ridge Regression,3.7077,18.1584,4.2589,0.0079,0.3388,0.3543,0.503,"('subject_10', 'subject_28', 'subject_8')"
Orthogonal Matching Pursuit,3.7127,18.3457,4.2802,-0.0014,0.3426,0.3587,0.459,"('subject_10', 'subject_28', 'subject_8')"
Elastic Net,3.7223,18.4034,4.2868,-0.0044,0.343,0.3594,0.475,"('subject_10', 'subject_28', 'subject_8')"
Lasso Regression,3.7225,18.4153,4.2879,-0.0047,0.3431,0.3595,0.475,"('subject_10', 'subject_28', 'subject_8')"
Lasso Least Angle Regression,3.7225,18.4153,4.2879,-0.0047,0.3431,0.3595,0.493,"('subject_10', 'subject_28', 'subject_8')"
Dummy Regressor,3.7263,18.4784,4.2951,-0.008,0.3436,0.3598,0.547,"('subject_10', 'subject_28', 'subject_8')"
Bayesian Ridge,3.7329,18.4959,4.2973,-0.0092,0.3437,0.3603,0.453,"('subject_10', 'subject_28', 'subject_8')"
Huber Regressor,3.7409,18.7147,4.3238,-0.0229,0.3458,0.3633,0.554,"('subject_10', 'subject_28', 'subject_8')"
K Neighbors Regressor,3.8651,20.7022,4.5446,-0.1297,0.36,0.3759,0.53,"('subject_10', 'subject_28', 'subject_8')"
Decision Tree Regressor,4.3501,30.5911,5.5276,-0.6733,0.4227,0.3817,0.526,"('subject_10', 'subject_28', 'subject_8')"
Passive Aggressive Regressor,5.0657,37.8673,5.9439,-1.0659,0.4444,0.4463,0.468,"('subject_10', 'subject_28', 'subject_8')"
Random Forest Regressor,3.53,16.8584,4.1026,0.0687,0.3177,0.3233,0.644,"('subject_10', 'subject_28', 'subject_9')"
Gradient Boosting Regressor,3.5819,16.9548,4.1142,0.0642,0.3209,0.3311,0.556,"('subject_10', 'subject_28', 'subject_9')"
Light Gradient Boosting Machine,3.5822,18.0426,4.2437,0.0032,0.3253,0.3256,0.463,"('subject_10', 'subject_28', 'subject_9')"
Extra Trees Regressor,3.6075,17.6289,4.1934,0.0259,0.3224,0.329,0.562,"('subject_10', 'subject_28', 'subject_9')"
AdaBoost Regressor,3.6177,17.0749,4.1296,0.0582,0.3275,0.3413,0.465,"('subject_10', 'subject_28', 'subject_9')"
Linear Regression,3.692,18.0454,4.2442,0.0063,0.3368,0.3516,0.458,"('subject_10', 'subject_28', 'subject_9')"
Ridge Regression,3.6938,18.0409,4.2438,0.0065,0.337,0.3521,0.496,"('subject_10', 'subject_28', 'subject_9')"
Least Angle Regression,3.7075,18.2571,4.2686,-0.0054,0.3383,0.3527,0.464,"('subject_10', 'subject_28', 'subject_9')"
Orthogonal Matching Pursuit,3.7142,18.2722,4.272,-0.0071,0.3409,0.357,0.511,"('subject_10', 'subject_28', 'subject_9')"
Elastic Net,3.7224,18.3298,4.2788,-0.0104,0.3414,0.3578,0.443,"('subject_10', 'subject_28', 'subject_9')"
Lasso Regression,3.7242,18.3481,4.2809,-0.0115,0.3415,0.3578,0.448,"('subject_10', 'subject_28', 'subject_9')"
Lasso Least Angle Regression,3.7242,18.3481,4.2809,-0.0115,0.3415,0.3578,0.479,"('subject_10', 'subject_28', 'subject_9')"
Dummy Regressor,3.7287,18.4,4.2871,-0.0144,0.3418,0.3581,0.446,"('subject_10', 'subject_28', 'subject_9')"
Bayesian Ridge,3.7304,18.3969,4.2867,-0.0142,0.3419,0.3586,0.507,"('subject_10', 'subject_28', 'subject_9')"
Huber Regressor,3.7408,18.6849,4.3194,-0.0296,0.3452,0.3635,0.551,"('subject_10', 'subject_28', 'subject_9')"
K Neighbors Regressor,3.8652,20.5237,4.5257,-0.1318,0.3562,0.3699,0.558,"('subject_10', 'subject_28', 'subject_9')"
Decision Tree Regressor,4.3661,30.2624,5.4969,-0.679,0.4213,0.3842,0.551,"('subject_10', 'subject_28', 'subject_9')"
Passive Aggressive Regressor,5.3904,44.3392,6.5045,-1.4307,0.4799,0.5515,0.559,"('subject_10', 'subject_28', 'subject_9')"
Random Forest Regressor,3.3598,15.6283,3.9506,0.081,0.3036,0.3025,0.591,"('subject_10', 'subject_29', 'subject_3')"
Gradient Boosting Regressor,3.3735,15.3336,3.9144,0.0966,0.3032,0.3064,0.506,"('subject_10', 'subject_29', 'subject_3')"
Light Gradient Boosting Machine,3.3995,16.8843,4.1061,0.0062,0.3126,0.3034,0.47,"('subject_10', 'subject_29', 'subject_3')"
AdaBoost Regressor,3.4802,15.9962,3.9973,0.0608,0.3135,0.321,0.478,"('subject_10', 'subject_29', 'subject_3')"
Extra Trees Regressor,3.4841,16.8454,4.1031,0.0074,0.3156,0.3155,0.571,"('subject_10', 'subject_29', 'subject_3')"
Least Angle Regression,3.5698,17.1897,4.1448,-0.0112,0.3269,0.3355,0.563,"('subject_10', 'subject_29', 'subject_3')"
Linear Regression,3.5731,17.0951,4.1333,-0.0051,0.3271,0.3369,0.439,"('subject_10', 'subject_29', 'subject_3')"
Ridge Regression,3.5742,17.0922,4.1329,-0.0048,0.3272,0.3372,0.482,"('subject_10', 'subject_29', 'subject_3')"
Dummy Regressor,3.5785,17.2055,4.1452,-0.0092,0.3291,0.3393,0.538,"('subject_10', 'subject_29', 'subject_3')"
Elastic Net,3.5808,17.1887,4.1435,-0.0086,0.3291,0.3396,0.483,"('subject_10', 'subject_29', 'subject_3')"
Bayesian Ridge,3.582,17.2175,4.147,-0.0103,0.3293,0.3397,0.524,"('subject_10', 'subject_29', 'subject_3')"
Lasso Regression,3.5824,17.2206,4.1472,-0.0103,0.3293,0.3397,0.453,"('subject_10', 'subject_29', 'subject_3')"
Lasso Least Angle Regression,3.5824,17.2206,4.1472,-0.0103,0.3293,0.3397,0.525,"('subject_10', 'subject_29', 'subject_3')"
Orthogonal Matching Pursuit,3.5897,17.2342,4.1488,-0.0111,0.3295,0.3403,0.555,"('subject_10', 'subject_29', 'subject_3')"
Huber Regressor,3.6213,17.6471,4.1991,-0.0371,0.334,0.3469,0.544,"('subject_10', 'subject_29', 'subject_3')"
K Neighbors Regressor,3.7274,19.6241,4.4274,-0.1553,0.3469,0.353,0.538,"('subject_10', 'subject_29', 'subject_3')"
Decision Tree Regressor,4.2,28.595,5.3424,-0.6868,0.4082,0.3705,0.565,"('subject_10', 'subject_29', 'subject_3')"
Passive Aggressive Regressor,5.6532,47.6547,6.7373,-1.8519,0.5565,0.5,0.505,"('subject_10', 'subject_29', 'subject_3')"
Random Forest Regressor,3.4167,16.1511,4.0132,0.114,0.3132,0.3155,0.549,"('subject_10', 'subject_29', 'subject_33')"
Extra Trees Regressor,3.468,16.7579,4.0887,0.0809,0.3189,0.321,0.513,"('subject_10', 'subject_29', 'subject_33')"
Gradient Boosting Regressor,3.4766,16.3587,4.0428,0.1023,0.3179,0.3246,0.583,"('subject_10', 'subject_29', 'subject_33')"
AdaBoost Regressor,3.5193,16.3087,4.0361,0.105,0.3228,0.3355,0.493,"('subject_10', 'subject_29', 'subject_33')"
Light Gradient Boosting Machine,3.5259,17.9433,4.2284,0.0171,0.3272,0.3223,0.486,"('subject_10', 'subject_29', 'subject_33')"
Linear Regression,3.6585,17.8588,4.2247,0.0197,0.339,0.3536,0.446,"('subject_10', 'subject_29', 'subject_33')"
Ridge Regression,3.6602,17.8549,4.2242,0.02,0.3391,0.3539,0.556,"('subject_10', 'subject_29', 'subject_33')"
Orthogonal Matching Pursuit,3.6838,18.1411,4.2575,0.0048,0.3436,0.3594,0.449,"('subject_10', 'subject_29', 'subject_33')"
Elastic Net,3.6931,18.1728,4.2611,0.0033,0.3439,0.3602,0.502,"('subject_10', 'subject_29', 'subject_33')"
Lasso Least Angle Regression,3.6994,18.2237,4.2668,0.0008,0.3442,0.3608,0.443,"('subject_10', 'subject_29', 'subject_33')"
Lasso Regression,3.6994,18.2237,4.2668,0.0008,0.3442,0.3608,0.42,"('subject_10', 'subject_29', 'subject_33')"
Bayesian Ridge,3.7042,18.2787,4.2735,-0.0024,0.3447,0.3613,0.446,"('subject_10', 'subject_29', 'subject_33')"
Huber Regressor,3.7069,18.383,4.2863,-0.0091,0.3463,0.364,0.455,"('subject_10', 'subject_29', 'subject_33')"
Dummy Regressor,3.7117,18.3262,4.2786,-0.0046,0.345,0.3618,0.504,"('subject_10', 'subject_29', 'subject_33')"
K Neighbors Regressor,3.7881,19.8943,4.4542,-0.0907,0.3562,0.3695,0.464,"('subject_10', 'subject_29', 'subject_33')"
Least Angle Regression,3.7926,19.9358,4.4226,-0.095,0.3529,0.3674,0.564,"('subject_10', 'subject_29', 'subject_33')"
Decision Tree Regressor,4.4983,31.216,5.5826,-0.7135,0.432,0.3932,0.456,"('subject_10', 'subject_29', 'subject_33')"
Passive Aggressive Regressor,4.8187,35.4582,5.8336,-0.9477,0.4634,0.4826,0.459,"('subject_10', 'subject_29', 'subject_33')"
Random Forest Regressor,3.3693,15.6683,3.9525,0.0997,0.3048,0.3053,0.669,"('subject_10', 'subject_29', 'subject_5')"
Light Gradient Boosting Machine,3.4279,16.8741,4.1028,0.0297,0.3144,0.309,0.535,"('subject_10', 'subject_29', 'subject_5')"
Gradient Boosting Regressor,3.4317,15.916,3.9853,0.0855,0.3106,0.3161,0.605,"('subject_10', 'subject_29', 'subject_5')"
Extra Trees Regressor,3.4567,16.5318,4.064,0.0474,0.3131,0.3147,0.587,"('subject_10', 'subject_29', 'subject_5')"
AdaBoost Regressor,3.4673,15.9048,3.9844,0.0862,0.3136,0.3225,0.533,"('subject_10', 'subject_29', 'subject_5')"
Linear Regression,3.5772,17.1728,4.1406,0.0141,0.3284,0.3391,0.469,"('subject_10', 'subject_29', 'subject_5')"
Ridge Regression,3.5776,17.1676,4.14,0.0143,0.3285,0.3393,0.441,"('subject_10', 'subject_29', 'subject_5')"
Least Angle Regression,3.578,17.1751,4.1408,0.014,0.3283,0.3391,0.516,"('subject_10', 'subject_29', 'subject_5')"
Dummy Regressor,3.5988,17.4989,4.1805,-0.0053,0.3332,0.3442,0.444,"('subject_10', 'subject_29', 'subject_5')"
Lasso Least Angle Regression,3.6021,17.4915,4.1795,-0.0047,0.3332,0.3445,0.5,"('subject_10', 'subject_29', 'subject_5')"
Lasso Regression,3.6021,17.4915,4.1795,-0.0047,0.3332,0.3445,0.452,"('subject_10', 'subject_29', 'subject_5')"
Elastic Net,3.6033,17.4635,4.1761,-0.0031,0.333,0.3446,0.546,"('subject_10', 'subject_29', 'subject_5')"
Bayesian Ridge,3.607,17.4908,4.1795,-0.0048,0.3331,0.3448,0.484,"('subject_10', 'subject_29', 'subject_5')"
Orthogonal Matching Pursuit,3.6103,17.5444,4.1859,-0.0078,0.3338,0.3455,0.474,"('subject_10', 'subject_29', 'subject_5')"
Huber Regressor,3.6154,17.6329,4.1953,-0.0123,0.3356,0.3494,0.534,"('subject_10', 'subject_29', 'subject_5')"
K Neighbors Regressor,3.6608,18.9416,4.349,-0.0922,0.3427,0.3504,0.527,"('subject_10', 'subject_29', 'subject_5')"
Passive Aggressive Regressor,4.0581,25.5552,5.0285,-0.4845,0.3972,0.4398,0.475,"('subject_10', 'subject_29', 'subject_5')"
Decision Tree Regressor,4.3597,30.0706,5.4772,-0.7332,0.4191,0.3865,0.584,"('subject_10', 'subject_29', 'subject_5')"
Random Forest Regressor,3.3182,15.2711,3.9007,0.0725,0.3012,0.301,0.678,"('subject_10', 'subject_29', 'subject_6')"
Gradient Boosting Regressor,3.3665,15.5118,3.9303,0.0584,0.3052,0.3079,0.497,"('subject_10', 'subject_29', 'subject_6')"
AdaBoost Regressor,3.3815,15.2809,3.9029,0.0715,0.3085,0.3157,0.459,"('subject_10', 'subject_29', 'subject_6')"
Extra Trees Regressor,3.3956,15.9323,3.9848,0.0327,0.3063,0.3064,0.539,"('subject_10', 'subject_29', 'subject_6')"
Light Gradient Boosting Machine,3.4247,16.8253,4.0937,-0.0235,0.3119,0.3055,0.57,"('subject_10', 'subject_29', 'subject_6')"
Ridge Regression,3.4531,16.237,4.0231,0.0143,0.3192,0.3258,0.464,"('subject_10', 'subject_29', 'subject_6')"
Linear Regression,3.4531,16.2415,4.0236,0.0141,0.3191,0.3258,0.425,"('subject_10', 'subject_29', 'subject_6')"
Least Angle Regression,3.4533,16.246,4.0242,0.0138,0.3191,0.3258,0.464,"('subject_10', 'subject_29', 'subject_6')"
Dummy Regressor,3.4906,16.5814,4.066,-0.0069,0.3241,0.3324,0.503,"('subject_10', 'subject_29', 'subject_6')"
Lasso Least Angle Regression,3.4948,16.6085,4.0694,-0.0085,0.3244,0.3328,0.571,"('subject_10', 'subject_29', 'subject_6')"
Lasso Regression,3.4948,16.6085,4.0694,-0.0085,0.3244,0.3328,0.465,"('subject_10', 'subject_29', 'subject_6')"
Bayesian Ridge,3.4972,16.6056,4.0691,-0.0084,0.3243,0.3328,0.46,"('subject_10', 'subject_29', 'subject_6')"
Elastic Net,3.5006,16.6253,4.0717,-0.0098,0.3245,0.3332,0.446,"('subject_10', 'subject_29', 'subject_6')"
Huber Regressor,3.5097,16.8814,4.103,-0.0257,0.3266,0.3356,0.546,"('subject_10', 'subject_29', 'subject_6')"
Orthogonal Matching Pursuit,3.5133,16.7382,4.0855,-0.0167,0.3255,0.3345,0.54,"('subject_10', 'subject_29', 'subject_6')"
K Neighbors Regressor,3.6424,18.5323,4.2972,-0.1261,0.3386,0.3448,0.519,"('subject_10', 'subject_29', 'subject_6')"
Decision Tree Regressor,4.2817,28.7783,5.3587,-0.761,0.4099,0.3728,0.529,"('subject_10', 'subject_29', 'subject_6')"
Passive Aggressive Regressor,4.6204,32.1854,5.5543,-0.9774,0.4426,0.3921,0.572,"('subject_10', 'subject_29', 'subject_6')"
Random Forest Regressor,3.4133,16.1189,4.0115,0.071,0.3088,0.3095,0.658,"('subject_10', 'subject_29', 'subject_7')"
Extra Trees Regressor,3.4432,16.4518,4.0521,0.051,0.3111,0.312,0.587,"('subject_10', 'subject_29', 'subject_7')"
Gradient Boosting Regressor,3.4442,15.9422,3.9893,0.0812,0.3104,0.3159,0.496,"('subject_10', 'subject_29', 'subject_7')"
AdaBoost Regressor,3.4927,16.2014,4.0224,0.0667,0.3179,0.3272,0.534,"('subject_10', 'subject_29', 'subject_7')"
Light Gradient Boosting Machine,3.4938,17.5587,4.188,-0.0144,0.3209,0.3147,0.619,"('subject_10', 'subject_29', 'subject_7')"
Linear Regression,3.5821,17.2068,4.1451,0.0088,0.3293,0.3401,0.515,"('subject_10', 'subject_29', 'subject_7')"
Ridge Regression,3.5836,17.2033,4.1447,0.0091,0.3295,0.3405,0.522,"('subject_10', 'subject_29', 'subject_7')"
Least Angle Regression,3.5875,17.2979,4.156,0.0034,0.3297,0.3401,0.518,"('subject_10', 'subject_29', 'subject_7')"
Elastic Net,3.6116,17.4947,4.18,-0.0078,0.3344,0.3469,0.555,"('subject_10', 'subject_29', 'subject_7')"
Bayesian Ridge,3.6127,17.5071,4.1814,-0.0084,0.3344,0.3469,0.468,"('subject_10', 'subject_29', 'subject_7')"
Dummy Regressor,3.614,17.5529,4.1869,-0.011,0.3347,0.3469,0.517,"('subject_10', 'subject_29', 'subject_7')"
Lasso Regression,3.6154,17.5455,4.186,-0.0106,0.3347,0.3471,0.545,"('subject_10', 'subject_29', 'subject_7')"
Lasso Least Angle Regression,3.6154,17.5455,4.186,-0.0106,0.3347,0.3471,0.55,"('subject_10', 'subject_29', 'subject_7')"
Orthogonal Matching Pursuit,3.618,17.5342,4.1846,-0.0099,0.3346,0.3473,0.455,"('subject_10', 'subject_29', 'subject_7')"
Huber Regressor,3.6332,17.8195,4.2177,-0.0259,0.338,0.3523,0.46,"('subject_10', 'subject_29', 'subject_7')"
K Neighbors Regressor,3.726,19.3898,4.3956,-0.1148,0.3468,0.3567,0.52,"('subject_10', 'subject_29', 'subject_7')"
Decision Tree Regressor,4.3089,29.6173,5.4374,-0.7137,0.4175,0.3837,0.509,"('subject_10', 'subject_29', 'subject_7')"
Passive Aggressive Regressor,5.4047,42.7453,6.4112,-1.4477,0.4997,0.4987,0.447,"('subject_10', 'subject_29', 'subject_7')"
Random Forest Regressor,3.3908,15.7995,3.9698,0.0805,0.307,0.3083,0.568,"('subject_10', 'subject_29', 'subject_8')"
Extra Trees Regressor,3.3936,16.055,4.0021,0.0656,0.3082,0.3084,0.626,"('subject_10', 'subject_29', 'subject_8')"
Gradient Boosting Regressor,3.421,15.7763,3.9655,0.0828,0.3084,0.3135,0.512,"('subject_10', 'subject_29', 'subject_8')"
Light Gradient Boosting Machine,3.4242,16.6623,4.0773,0.0282,0.3116,0.3063,0.519,"('subject_10', 'subject_29', 'subject_8')"
AdaBoost Regressor,3.5242,16.4234,4.046,0.0472,0.319,0.329,0.463,"('subject_10', 'subject_29', 'subject_8')"
Orthogonal Matching Pursuit,3.5873,17.3773,4.1619,-0.0075,0.3323,0.344,0.507,"('subject_10', 'subject_29', 'subject_8')"
Elastic Net,3.5904,17.3694,4.1608,-0.0069,0.3321,0.3439,0.456,"('subject_10', 'subject_29', 'subject_8')"
Lasso Least Angle Regression,3.5911,17.3771,4.1616,-0.0072,0.3321,0.3439,0.454,"('subject_10', 'subject_29', 'subject_8')"
Lasso Regression,3.5911,17.3771,4.1616,-0.0072,0.3321,0.3439,0.451,"('subject_10', 'subject_29', 'subject_8')"
Dummy Regressor,3.592,17.3813,4.162,-0.0073,0.3321,0.3439,0.551,"('subject_10', 'subject_29', 'subject_8')"
Ridge Regression,3.5922,17.2967,4.1516,-0.0026,0.3303,0.342,0.455,"('subject_10', 'subject_29', 'subject_8')"
Linear Regression,3.5922,17.2997,4.1518,-0.0027,0.3302,0.3419,0.434,"('subject_10', 'subject_29', 'subject_8')"
Bayesian Ridge,3.5931,17.3914,4.1632,-0.0079,0.3322,0.344,0.51,"('subject_10', 'subject_29', 'subject_8')"
Least Angle Regression,3.6004,17.4171,4.1671,-0.011,0.3312,0.3424,0.467,"('subject_10', 'subject_29', 'subject_8')"
Huber Regressor,3.6164,17.7077,4.1999,-0.0259,0.336,0.3498,0.51,"('subject_10', 'subject_29', 'subject_8')"
K Neighbors Regressor,3.6241,18.6309,4.3084,-0.0805,0.3402,0.3464,0.521,"('subject_10', 'subject_29', 'subject_8')"
Decision Tree Regressor,4.3432,29.5506,5.4277,-0.7194,0.4133,0.3803,0.435,"('subject_10', 'subject_29', 'subject_8')"
Passive Aggressive Regressor,4.7227,35.2851,5.8696,-1.0547,0.4576,0.4885,0.474,"('subject_10', 'subject_29', 'subject_8')"
Random Forest Regressor,3.4023,16.1326,4.0122,0.0789,0.3115,0.3131,0.688,"('subject_10', 'subject_29', 'subject_9')"
Extra Trees Regressor,3.4857,16.974,4.1138,0.0306,0.3181,0.3206,0.601,"('subject_10', 'subject_29', 'subject_9')"
Gradient Boosting Regressor,3.4899,16.2369,4.0258,0.0719,0.314,0.3218,0.51,"('subject_10', 'subject_29', 'subject_9')"
Light Gradient Boosting Machine,3.4981,17.5927,4.1906,-0.0057,0.3223,0.3176,0.482,"('subject_10', 'subject_29', 'subject_9')"
AdaBoost Regressor,3.5145,16.1992,4.0221,0.0747,0.3182,0.3296,0.499,"('subject_10', 'subject_29', 'subject_9')"
Linear Regression,3.6207,17.4077,4.1693,0.0058,0.3312,0.3442,0.456,"('subject_10', 'subject_29', 'subject_9')"
Ridge Regression,3.6217,17.4048,4.169,0.006,0.3314,0.3445,0.491,"('subject_10', 'subject_29', 'subject_9')"
Least Angle Regression,3.6217,17.4184,4.1706,0.0052,0.3313,0.3443,0.503,"('subject_10', 'subject_29', 'subject_9')"
Elastic Net,3.6398,17.6683,4.201,-0.0092,0.3357,0.3493,0.52,"('subject_10', 'subject_29', 'subject_9')"
Dummy Regressor,3.6427,17.7078,4.2059,-0.0116,0.3359,0.3493,0.453,"('subject_10', 'subject_29', 'subject_9')"
Lasso Least Angle Regression,3.6439,17.7172,4.2069,-0.0121,0.336,0.3495,0.504,"('subject_10', 'subject_29', 'subject_9')"
Lasso Regression,3.6439,17.7172,4.2069,-0.0121,0.336,0.3495,0.424,"('subject_10', 'subject_29', 'subject_9')"
Bayesian Ridge,3.6475,17.7309,4.2084,-0.0127,0.3361,0.3499,0.498,"('subject_10', 'subject_29', 'subject_9')"
Orthogonal Matching Pursuit,3.6498,17.7617,4.2121,-0.0145,0.3364,0.35,0.532,"('subject_10', 'subject_29', 'subject_9')"
Huber Regressor,3.6535,17.8957,4.2264,-0.0218,0.3379,0.3531,0.534,"('subject_10', 'subject_29', 'subject_9')"
K Neighbors Regressor,3.7643,19.7299,4.4354,-0.1289,0.3512,0.3638,0.511,"('subject_10', 'subject_29', 'subject_9')"
Decision Tree Regressor,4.443,31.0737,5.5653,-0.7807,0.43,0.3909,0.495,"('subject_10', 'subject_29', 'subject_9')"
Passive Aggressive Regressor,4.9466,37.0644,5.969,-1.1052,0.4437,0.5005,0.535,"('subject_10', 'subject_29', 'subject_9')"
Random Forest Regressor,3.4094,16.0351,3.998,0.0842,0.3105,0.3125,0.559,"('subject_10', 'subject_3', 'subject_33')"
Gradient Boosting Regressor,3.468,16.3168,4.0358,0.0657,0.3152,0.3197,0.55,"('subject_10', 'subject_3', 'subject_33')"
Light Gradient Boosting Machine,3.4974,17.5047,4.1764,-0.0016,0.3215,0.316,0.477,"('subject_10', 'subject_3', 'subject_33')"
AdaBoost Regressor,3.5191,16.3051,4.0347,0.069,0.3193,0.3293,0.53,"('subject_10', 'subject_3', 'subject_33')"
Extra Trees Regressor,3.533,17.1938,4.1417,0.0188,0.3208,0.3226,0.552,"('subject_10', 'subject_3', 'subject_33')"
Linear Regression,3.5845,17.2319,4.1479,0.0157,0.3297,0.3407,0.59,"('subject_10', 'subject_3', 'subject_33')"
Ridge Regression,3.5851,17.2301,4.1476,0.0159,0.3299,0.341,0.528,"('subject_10', 'subject_3', 'subject_33')"
Elastic Net,3.6081,17.5061,4.18,0.0017,0.3342,0.3461,0.548,"('subject_10', 'subject_3', 'subject_33')"
Orthogonal Matching Pursuit,3.6113,17.5853,4.189,-0.0025,0.3347,0.3463,0.537,"('subject_10', 'subject_3', 'subject_33')"
Lasso Least Angle Regression,3.6133,17.5078,4.1801,0.0018,0.3342,0.3465,0.514,"('subject_10', 'subject_3', 'subject_33')"
Lasso Regression,3.6133,17.5078,4.1801,0.0018,0.3342,0.3465,0.542,"('subject_10', 'subject_3', 'subject_33')"
Huber Regressor,3.6159,17.8143,4.2166,-0.0167,0.3376,0.3508,0.437,"('subject_10', 'subject_3', 'subject_33')"
Bayesian Ridge,3.616,17.5555,4.1861,-0.0013,0.3345,0.3467,0.516,"('subject_10', 'subject_3', 'subject_33')"
Dummy Regressor,3.6299,17.6357,4.1953,-0.0055,0.335,0.3476,0.456,"('subject_10', 'subject_3', 'subject_33')"
K Neighbors Regressor,3.7485,20.0571,4.4735,-0.1451,0.3518,0.3595,0.452,"('subject_10', 'subject_3', 'subject_33')"
Decision Tree Regressor,4.3118,29.4645,5.4194,-0.687,0.4191,0.3841,0.452,"('subject_10', 'subject_3', 'subject_33')"
Passive Aggressive Regressor,5.5349,44.4662,6.4345,-1.5353,0.5315,0.4618,0.473,"('subject_10', 'subject_3', 'subject_33')"
Least Angle Regression,283.5426,1552151.329,397.691,-86874.1982,0.7937,26.58,0.494,"('subject_10', 'subject_3', 'subject_33')"
Random Forest Regressor,3.3492,15.4666,3.9299,0.1081,0.3035,0.3038,0.659,"('subject_10', 'subject_3', 'subject_5')"
Light Gradient Boosting Machine,3.3976,16.7105,4.0837,0.032,0.3129,0.3044,0.54,"('subject_10', 'subject_3', 'subject_5')"
Gradient Boosting Regressor,3.4041,15.6538,3.9541,0.0967,0.3069,0.3111,0.582,"('subject_10', 'subject_3', 'subject_5')"
AdaBoost Regressor,3.4656,15.8475,3.9787,0.0867,0.3136,0.3218,0.524,"('subject_10', 'subject_3', 'subject_5')"
Extra Trees Regressor,3.4684,16.7635,4.0873,0.0327,0.3158,0.3166,0.623,"('subject_10', 'subject_3', 'subject_5')"
Linear Regression,3.5753,17.1184,4.1358,0.0131,0.3287,0.339,0.515,"('subject_10', 'subject_3', 'subject_5')"
Ridge Regression,3.5753,17.1144,4.1354,0.0133,0.3288,0.3392,0.452,"('subject_10', 'subject_3', 'subject_5')"
Orthogonal Matching Pursuit,3.5848,17.2883,4.1563,0.0036,0.3319,0.3429,0.46,"('subject_10', 'subject_3', 'subject_5')"
Elastic Net,3.5946,17.3369,4.1621,0.0009,0.3322,0.3436,0.455,"('subject_10', 'subject_3', 'subject_5')"
Lasso Least Angle Regression,3.6005,17.3685,4.1657,-0.0006,0.3324,0.3439,0.458,"('subject_10', 'subject_3', 'subject_5')"
Lasso Regression,3.6005,17.3685,4.1657,-0.0006,0.3324,0.3439,0.46,"('subject_10', 'subject_3', 'subject_5')"
Bayesian Ridge,3.6069,17.438,4.1742,-0.0048,0.3329,0.3446,0.445,"('subject_10', 'subject_3', 'subject_5')"
Huber Regressor,3.6087,17.6935,4.2053,-0.0213,0.3364,0.3497,0.525,"('subject_10', 'subject_3', 'subject_5')"
Dummy Regressor,3.6139,17.4755,4.178,-0.0062,0.3329,0.3446,0.503,"('subject_10', 'subject_3', 'subject_5')"
Least Angle Regression,3.6247,17.8662,4.2178,-0.0291,0.3391,0.3426,0.453,"('subject_10', 'subject_3', 'subject_5')"
K Neighbors Regressor,3.6735,18.9862,4.3515,-0.0932,0.3425,0.3503,0.494,"('subject_10', 'subject_3', 'subject_5')"
Decision Tree Regressor,4.0841,27.4358,5.2325,-0.582,0.399,0.3521,0.573,"('subject_10', 'subject_3', 'subject_5')"
Passive Aggressive Regressor,4.6637,33.1394,5.5761,-0.9655,0.4393,0.4604,0.508,"('subject_10', 'subject_3', 'subject_5')"
Random Forest Regressor,3.4392,16.1181,4.0104,0.0551,0.3098,0.3128,0.64,"('subject_10', 'subject_3', 'subject_6')"
Gradient Boosting Regressor,3.4617,16.1352,4.0137,0.0545,0.3121,0.3176,0.468,"('subject_10', 'subject_3', 'subject_6')"
AdaBoost Regressor,3.4752,15.8286,3.9764,0.0725,0.3142,0.3245,0.489,"('subject_10', 'subject_3', 'subject_6')"
Light Gradient Boosting Machine,3.4793,17.2532,4.1482,-0.0118,0.3182,0.3132,0.467,"('subject_10', 'subject_3', 'subject_6')"
Least Angle Regression,3.5629,16.8942,4.1082,0.0102,0.3252,0.3361,0.533,"('subject_10', 'subject_3', 'subject_6')"
Linear Regression,3.5659,16.8951,4.1084,0.0102,0.3258,0.3371,0.468,"('subject_10', 'subject_3', 'subject_6')"
Ridge Regression,3.5669,16.8934,4.1082,0.0103,0.3259,0.3374,0.526,"('subject_10', 'subject_3', 'subject_6')"
Elastic Net,3.5848,17.1106,4.1343,-0.002,0.3295,0.3417,0.528,"('subject_10', 'subject_3', 'subject_6')"
Dummy Regressor,3.5855,17.1458,4.1385,-0.0039,0.3297,0.3417,0.491,"('subject_10', 'subject_3', 'subject_6')"
Lasso Least Angle Regression,3.5865,17.1453,4.1384,-0.0039,0.3297,0.3419,0.559,"('subject_10', 'subject_3', 'subject_6')"
Lasso Regression,3.5865,17.1453,4.1384,-0.0039,0.3297,0.3419,0.453,"('subject_10', 'subject_3', 'subject_6')"
Orthogonal Matching Pursuit,3.5904,17.1927,4.1438,-0.0065,0.3302,0.3424,0.511,"('subject_10', 'subject_3', 'subject_6')"
Bayesian Ridge,3.5961,17.1939,4.1443,-0.0068,0.3301,0.3427,0.547,"('subject_10', 'subject_3', 'subject_6')"
